"candidate","race","district","party","small_dollar_total","show_on_page","display_name","finance_type"
"mark c cooper","Representative","107","Republican",90,"yes","Mark Cooper","MCEA"
"mark frederick zimmer","Representative","150","Republican",20,"yes","Mark Zimmer","MCEA"
"mark vigliotta","Senator","33","Democratic",650,"yes","Mark Vigliotta","MCEA"
"mark walker","Representative","84","Republican",50,"yes","Mark Walker","TF"
"marshall archer","Representative","129","Democratic",10,"yes","Marshall Archer","TF"
"mary shannon lindstrom","Representative","124","Unenrolled",85,"yes","Mary Lindstrom (independent)","MCEA"
"matthew a harrington","Senator","33","Republican",375,"yes","Matthew Harrington","TF"
"matthew kershaw","Representative","95","Democratic",102.71,"yes","Matthew Kershaw (not on ballot)","MCEA"
"maura h pillsbury","Representative","102","Democratic",300,"yes","Maura Pillsbury","MCEA"
"maureen aucoin","Representative","55","Democratic",200,"yes","Maureen AuCoin","MCEA"
"melissa byer","Representative","42","Republican",35,"yes","Melissa Byer","TF"
"michael brayson","Representative","33","Democratic",42.54,"yes","Michael Brayson","MCEA"
"michael dixon","Representative","119","Democratic",300,"yes","Michael Dixon","MCEA"
"michael hobart cunningham ii","Representative","13","Democratic",50,"yes","Michael Cunningham II","MCEA"
"michael r scott","Senator","20","Democratic",535,"yes","Michael Scott","MCEA"
"michelle tucker","Representative","54","Republican",465,"yes","Michelle Tucker","TF"
"mike soboleski","Representative","73","Republican",275,"yes","Michael Soboleski","TF"
"nancy mcdowell","Representative","29","Democratic",50,"yes","Nancy McDowell","MCEA"
"nancy mcdowellspecial","Representative","29","Democratic",50,"yes","Nancy McDowell (special election)","MCEA"
"nathan burnett","Senator","22","Democratic",270,"yes","Nathan Burnett","MCEA"
"nathan m carlow","Representative","137","Republican",175,"yes","Nathan Carlow","TF"
"nina a milliken","Representative","16","Democratic",100,"yes","Nina Milliken","MCEA"
"nirav shah","Governor",NA,"Democratic",97789.34,"yes","Nirav Shah (not on ballot)","TF"
"oliver mcavoy","Representative","138","Democratic",50,"yes","Oliver McAvoy","MCEA"
"pamela jo swift","Representative","62","Democratic",200,"yes","Pamela Swift","MCEA"
"parnell william terry","Representative","108","Democratic",50,"yes","Parnell Terry","MCEA"
"patric moore","Senator","16","Democratic",685,"yes","Patric Moore","MCEA"
"paul welch","Representative","85","Democratic",50,"yes","Paul Welch","MCEA"
"peter j southam","Senator","19","Democratic",280,"yes","Peter Southam","MCEA"
"peter q jenks","Representative","43","Democratic",200,"yes","Peter Jenks (dropped out)","MCEA"
"r melissa winslow","Representative","104","Republican",320,"yes","Melissa Winslow","TF"
"rachel mary phipps","Representative","135","Democratic",80,"yes","Rachel Phipps (not on ballot)","MCEA"
"rafael leo macias","Representative","51","Democratic",200,"yes","Rafael Macias","MCEA"
"randall douglas gauvin","Representative","75","Republican",100,"yes","Randall Gauvin","TF"
"ray thombs","Representative","44","Republican",181,"yes","Ray Thombs","TF"
"reagan leeann paul","Representative","37","Republican",600,"yes","Reagan Paul","TF"
"rebecca lynn flood andrews","Representative","141","Democratic",35,"yes","Rebecca Flood Andrews","MCEA"
"rebecca stephens","Representative","45","Republican",50,"yes","Rebecca Stephens","TF"
"rhiannon hampson","Representative","43","Democratic",345,"yes","Rhiannon Hampson","TF"
"richard bennett","Governor",NA,"Unenrolled",2205,"yes","Richard Bennett (independent)","TF"
"richard g mason","Senator","17","Republican",25.5,"yes","Richard Mason","TF"
"robert b charles","Governor",NA,"Republican",15274.55,"yes","Robert Charles","TF"
"robert finch sullebarger","Senator","5","Democratic",324,"yes","Robert Sullebarger","MCEA"
"robert j wessels","Governor",NA,"Republican",6110.69,"yes","Robert Wessels (not on ballot)","TF"
"robin uptonsukeforth","Representative","56","Democratic",315,"yes","Robin Upton-Sukeforth","MCEA"
"ryan m fecteau","Representative","132","Democratic",40,"yes","Ryan Fecteau","TF"
"sally jeane cluchey","Representative","52","Democratic",100,"yes","Sally Cluchey","MCEA"
"scott w cyrway","Senator","16","Republican",305,"yes","Scott Cyrway","MCEA"
"sean f faircloth","Representative","24","Democratic",25,"yes","Sean Faircloth","MCEA"
"shanna cox","Senator","21","Democratic",175,"yes","Shanna Cox","TF"
"sharon c frost","Representative","58","Unenrolled",306.4,"yes","Sharon Frost (independent)","TF"
"shawn michael packard","Representative","64","Republican",180,"yes","Shawn Packard","TF"
"shawn saindon","Representative","44","Unenrolled",50,"yes","Shawn Saindon (independent)","MCEA"
"shenna bellows","Governor",NA,"Democratic",126840.24,"yes","Shenna Bellows (not on ballot)","TF"
"sophia warren","Senator","30","Democratic",320,"yes","Sophia Warren","MCEA"
"stephen carey","Senator","9","Unenrolled",200,"yes","Stephen Carey (independent)","MCEA"
"steven butterfield","Representative","55","Democratic",260,"yes","Steven Butterfield (not on ballot)","MCEA"
"steven matthew bishop iv","Representative","17","Republican",10,"yes","Steven Bishop","TF"
"taylor west","Representative","63","Democratic",346,"yes","Taylor West","MCEA"
"thomas hart","Representative","12","Republican",50,"yes","Thomas Hart","TF"
"timothy e nangle","Senator","26","Democratic",420,"yes","Timothy Nangle","MCEA"
"tom keefe","Representative","59","Democratic",530,"yes","Thomas Keefe (not on ballot)","TF"
"traci l gere","Representative","134","Democratic",100,"yes","Traci Gere","MCEA"
"trevor alex doiron","Representative","76","Democratic",100,"yes","Trevor Doiron","MCEA"
"troy dale jackson","Governor",NA,"Democratic",103382.27,"yes","Troy Jackson (not on ballot)","TF"
"vaughn j mclaughlin","Senator","1","Democratic",134,"yes","Vaughn McLaughlin","MCEA"
"w edward crockett","Governor",NA,"Unenrolled",25,"yes","Edward Crockett (independent, not on ballot)","TF"
"wayne k farrin","Representative","47","Democratic",300,"yes","Wayne Farrin","MCEA"
"wayne parry","Representative","140","Republican",475,"yes","Wayne Parry","TF"
"william j st michel","Representative","98","Republican",125,"yes","William St. Michel","MCEA"
"woodleigh h hughes","Representative","78","Democratic",10,"yes","Woodleigh Hughes","MCEA"
"zachary anders wood","Senator","4","Republican",175,"yes","Zachary Wood (not on ballot)","MCEA"
