"candidate","tot_exp","race","district","party","show_on_page","display_name","finance_type"
"joel r stetkis",2009.6,"Senator",3,"Republican","yes","Joel Stetkis","TF"
"chad richard perkins",3956.25,"Senator",4,"Republican","yes","Chad Perkins","TF"
"joseph paul guerin",2979.94,"Senator",4,"Republican","yes","Joseph Guerin","TF"
"gregory pierce",2662.85,"Senator",4,"Republican","yes","Gregory Pierce","TF"
"zachary anders wood",1607.9,"Senator",4,"Republican","yes","Zachary Wood","MCEA"
"robert finch sullebarger",2898.97,"Senator",5,"Democratic","yes","Robert Sullebarger","MCEA"
"elizabeth caruso",2623.36,"Senator",5,"Republican","yes","Elizabeth Caruso","TF"
"billy bob faulkingham",696.17,"Senator",6,"Republican","yes","Billy Faulkingham","TF"
"cheryl hewes",3000,"Senator",7,"Republican","yes","Cheryl Hewes","MCEA"
"nicole c grohoski",1823.44,"Senator",7,"Democratic","yes","Nicole Grohoski","MCEA"
"michael tipping",3000,"Senator",8,"Democratic","yes","Michael Tipping","MCEA"
"leo christopher kenney",2966.27,"Senator",8,"Republican","yes","Leo Kenney","MCEA"
"amy j roeder",3000,"Senator",9,"Democratic","yes","Amy Roeder","MCEA"
"david g haggan",3000,"Senator",10,"Republican","yes","David Haggan","MCEA"
"ryan christopher otis",2995,"Senator",11,"Republican","yes","Ryan Otis","MCEA"
"glenn chip curry",2937.97,"Senator",11,"Democratic","yes","Glenn Curry","MCEA"
"edwin m mitchell",2293.18,"Senator",13,"Unenrolled","yes","Edwin M. Mitchell","MCEA"
"cameron reny",193.37,"Senator",13,"Democratic","yes","Cameron Reny","MCEA"
"craig v hickman",6024.37,"Senator",14,"Democratic","yes","Craig Hickman","TF"
"kati l mccormick",1349.35,"Senator",15,"Republican","yes","Kati McCormick","MCEA"
"amanda heath",1096.98,"Senator",15,"Democratic","yes","Amanda Heath","MCEA"
"scott w cyrway",2966.39,"Senator",16,"Republican","yes","Scott Cyrway","MCEA"
"joshua morris",4683.43,"Senator",17,"Republican","yes","Joshua Morris","TF"
"richard g mason",950,"Senator",17,"Republican","yes","Richard Mason","TF"
"john andrews",3448.09,"Senator",18,"Republican","yes","John Andrews","TF"
"elizabeth d bosworth",2964.5,"Senator",18,"Democratic","yes","Elizabeth Bosworth","MCEA"
"peter j southam",917.28,"Senator",19,"Democratic","yes","Peter Southam","MCEA"
"bruce bickford",3000,"Senator",20,"Republican","yes","Bruce Bickford","MCEA"
"michael r scott",3000,"Senator",20,"Democratic","yes","Michael Scott","MCEA"
"shanna cox",5866.96,"Senator",21,"Democratic","yes","Shanna Cox","TF"
"mana hared abdi",1733.75,"Senator",21,"Democratic","yes","Mana Abdi","TF"
"kimberly j pomerleau",2766.98,"Senator",22,"Republican","yes","Kimberly Pomerleau","MCEA"
"nathan burnett",20.2,"Senator",22,"Democratic","yes","Nathan Burnett","MCEA"
"matthea elisabeth larsen daughtry",2950.15,"Senator",23,"Democratic","yes","Matthea Daughtry","TF"
"denise tepler",2871.58,"Senator",24,"Democratic","yes","Denise Tepler","MCEA"
"teresa s pierce",39.5,"Senator",25,"Democratic","yes","Teresa Pierce","TF"
"peter g violette",2998.45,"Senator",26,"Republican","yes","Peter Violette","MCEA"
"timothy e nangle",851.07,"Senator",26,"Democratic","yes","Timothy Nangle","MCEA"
"jill c duson",1430.7,"Senator",27,"Democratic","yes","Jill Duson","MCEA"
"anne carney",0.2,"Senator",29,"Democratic","yes","Anne Carney","TF"
"eleanor sato",2999.56,"Senator",30,"Democratic","yes","Eleanor Sato","MCEA"
"sophia warren",2951.32,"Senator",30,"Democratic","yes","Sophia Warren","MCEA"
"donna bailey",731.46,"Senator",31,"Democratic","yes","Donna Bailey","MCEA"
"henry l ingwersen",2946.81,"Senator",32,"Democratic","yes","Henry Ingwersen","MCEA"
"matthew a harrington",3687.44,"Senator",33,"Republican","yes","Matthew Harrington","TF"
"jonathan reed fallon",2976.69,"Senator",34,"Republican","yes","Jonathan Fallon","MCEA"
"daniel sayre",1482.91,"Senator",34,"Democratic","yes","Daniel Sayre","MCEA"
"deane rykerson",2852.98,"Senator",35,"Democratic","yes","Deane Rykerson","MCEA"
"michele meyer",1497.3,"Senator",35,"Democratic","yes","Michele Meyer","MCEA"
"julie nicole rakic",873.02,"Senator",35,"Republican","yes","Julie Rakic","MCEA"
