"candidate","entity","total_paid","race","district","party","show_on_page","display_name","finance_type"
"kristin tyra davis","UNITED STATES POSTAL SERVICE",94,"Representative","145","Democratic",NA,"Kristin Tyra Davis","MCEA"
"kristin tyra davis","MINUTEMAN PRESS",72.8,"Representative","145","Democratic",NA,"Kristin Tyra Davis","MCEA"
"holly taylor sargent","Dale Rand Printing",393,"Representative","147","Democratic",NA,"Holly Taylor Sargent","MCEA"
"holly taylor sargent","Alphagraphics",205.91,"Representative","147","Democratic",NA,"Holly Taylor Sargent","MCEA"
"holly taylor sargent","Staples",155.87,"Representative","147","Democratic",NA,"Holly Taylor Sargent","MCEA"
"holly taylor sargent","The Stationery Studio",94.81,"Representative","147","Democratic",NA,"Holly Taylor Sargent","MCEA"
"holly taylor sargent","Camden National Bank",40.78,"Representative","147","Democratic",NA,"Holly Taylor Sargent","MCEA"
"alexandros orestis","John Boys",400,"Representative","150","Democratic","yes","Alexandros Orestis","MCEA"
"alexandros orestis","Sundance Signs",130,"Representative","150","Democratic","yes","Alexandros Orestis","MCEA"
"alexandros orestis","GotPrint.com",107.21,"Representative","150","Democratic","yes","Alexandros Orestis","MCEA"
"alexandros orestis","Google LLC",66.65,"Representative","150","Democratic","yes","Alexandros Orestis","MCEA"
"alexandros orestis","Staples",41.99,"Representative","150","Democratic","yes","Alexandros Orestis","MCEA"
"mark frederick zimmer","Wix",174,"Representative","150","Republican","yes","Mark Zimmer","MCEA"
"mark frederick zimmer","amazon",19.58,"Representative","150","Republican","yes","Mark Zimmer","MCEA"
"nina a milliken","Best Buy",808.41,"Representative","16","Democratic","yes","Nina Milliken","MCEA"
"nina a milliken","United States Postal Service",156,"Representative","16","Democratic","yes","Nina Milliken","MCEA"
"steven matthew bishop","Steve Bishop",334.56,"Representative","17","Republican",NA,"Steven Bishop","Unknown"
"steven matthew bishop","Anedot",262.8,"Representative","17","Republican",NA,"Steven Bishop","Unknown"
"steven matthew bishop","Camden National Bank",131,"Representative","17","Republican",NA,"Steven Bishop","Unknown"
"mathew david mcintyre","Spectrum Marketing Companies",2373.8,"Representative","18","Republican",NA,"Mathew David Mcintyre","Unknown"
"mathew david mcintyre","US Postal Service",624,"Representative","18","Republican",NA,"Mathew David Mcintyre","Unknown"
"richard h campbell","Richard Campbell",7232.71,"Representative","19","Republican",NA,"Richard H. Campbell","TF"
"roland daniel martin","Aquecs, Inc. (dba/Cross & Oberlie",590,"Representative","2","Democratic",NA,"Roland Daniel Martin","MCEA"
"dani ohalloran","Bangor Letter Shop",990,"Representative","20","Democratic",NA,"Dani O'halloran","MCEA"
"dani ohalloran","Brewer Federal Credit Union",7,"Representative","20","Democratic",NA,"Dani O'halloran","MCEA"
"andrew laverdiere","Print Bangor",66.28,"Representative","21","Republican",NA,"Andrew Laverdiere","TF"
"frank joseph casella","Amazon",559.14,"Representative","21","Republican",NA,"Frank Joseph Casella","MCEA"
"frank joseph casella","Spectrum Marketing",294.03,"Representative","21","Republican",NA,"Frank Joseph Casella","MCEA"
"frank joseph casella","Bangor Letter Shop",140.19,"Representative","21","Republican",NA,"Frank Joseph Casella","MCEA"
"frank joseph casella","Bangor Savings Bank",4,"Representative","21","Republican",NA,"Frank Joseph Casella","MCEA"
"frank joseph casella","Dollar Tree - Old Town",2.64,"Representative","21","Republican",NA,"Frank Joseph Casella","MCEA"
"laura danielle supica","Maine Ethics Comission",300,"Representative","22","Democratic",NA,"Laura Danielle Supica","Unknown"
"brian ames","Staples",379.67,"Representative","23","Republican",NA,"Brian Ames","MCEA"
"brian ames","Bangor Letter Shop",320.09,"Representative","23","Republican",NA,"Brian Ames","MCEA"
"brian ames","Spectrum Marketing Co",300,"Representative","23","Republican",NA,"Brian Ames","MCEA"
"katie brydon","Bangor Solutions",465,"Representative","23","Democratic",NA,"Katie Brydon","MCEA"
"katie brydon","Wix.com",396,"Representative","23","Democratic",NA,"Katie Brydon","MCEA"
"katie brydon","Katie Brydon",121.33,"Representative","23","Democratic",NA,"Katie Brydon","MCEA"
"katie brydon","Walmart",17.67,"Representative","23","Democratic",NA,"Katie Brydon","MCEA"
"victoria porter kornfield","FRAME Media Srategies",645,"Representative","23","Democratic",NA,"Victoria Porter Kornfield","MCEA"
"victoria porter kornfield","Post Master",78,"Representative","23","Democratic",NA,"Victoria Porter Kornfield","MCEA"
"sean f faircloth","FRAME! Media Strategies",9343.37,"Representative","24","Democratic","yes","Sean Faircloth","Unknown"
"sean f faircloth","StackAdapt",3950,"Representative","24","Democratic","yes","Sean Faircloth","Unknown"
"sean f faircloth","META",1645,"Representative","24","Democratic","yes","Sean Faircloth","Unknown"
"sean f faircloth","Capital Promotions",710,"Representative","24","Democratic","yes","Sean Faircloth","Unknown"
"sean f faircloth","Print Bangor",424.44,"Representative","24","Democratic","yes","Sean Faircloth","Unknown"
"zachary smith","National Abortion Federation",244.39,"Representative","24","Democratic",NA,"Zachary Smith","Unknown"
"zachary smith","Spaceship.com",36.58,"Representative","24","Democratic",NA,"Zachary Smith","Unknown"
"james f dill","The Snowman Group",747.2,"Representative","26","Democratic",NA,"James F. Dill","MCEA"
"james f dill","USPS",202.8,"Representative","26","Democratic",NA,"James F. Dill","MCEA"
"david giles","Bangor Letter Shop",1710.68,"Representative","27","Republican","yes","David Giles","TF"
"david giles","VistaPrint",1020.35,"Representative","27","Republican","yes","David Giles","TF"
"david giles","USPS",465.8,"Representative","27","Republican","yes","David Giles","TF"
"david giles","Google",105.6,"Representative","27","Republican","yes","David Giles","TF"
"david giles","Rocketgenious",59,"Representative","27","Republican","yes","David Giles","TF"
"david h mccrea","Sign Rocket",592.5,"Representative","3","Democratic",NA,"David H. Mccrea","MCEA"
