"candidate","race","district","party","tot_con_per_cand","show_on_page","display_name","finance_type"
"madison cook","Representative",39,"Democratic",1000,"yes","Madison Cook","MCEA"
"joseph milton mclaughlin","Representative",40,"Republican",1150,"yes","Joseph McLaughlin","TF"
"d michael ray","Representative",40,"Democratic",1000,"yes","Michael Ray","MCEA"
"cory raymond","Representative",41,"Republican",1070,"yes","Cory Raymond","TF"
"marcus mrowka","Representative",41,"Democratic",1070,"yes","Marcus Mrowka (not on ballot)","MCEA"
"joshua d gerritsen","Representative",41,"Democratic",1000,"yes","Joshua Gerritsen","MCEA"
"melissa byer","Representative",42,"Republican",555,"yes","Melissa Byer","TF"
"valli d geiger","Representative",42,"Democratic",0,"yes","Valli Geiger","MCEA"
"chris p austin","Representative",43,"Republican",4779.74,"yes","Christopher Austin","TF"
"rhiannon hampson","Representative",43,"Democratic",2870,"yes","Rhiannon Hampson","TF"
"michael sweeny flanagan","Representative",43,"Republican",1000,"yes","Michael Flanagan (not on ballot)","MCEA"
"peter q jenks","Representative",43,"Democratic",1000,"yes","Peter Jenks (dropped out)","MCEA"
"ray thombs","Representative",44,"Republican",8319.8,"yes","Ray Thombs","TF"
"shawn saindon","Representative",44,"Unenrolled",1013.84,"yes","Shawn Saindon (independent)","MCEA"
"brady alden clark","Representative",44,"Republican",0,"yes","Brady Clark (not on ballot)","TF"
"rebecca stephens","Representative",45,"Republican",18040,"yes","Rebecca Stephens","TF"
"clinton collamore","Representative",45,"Unenrolled",3756.18,"yes","Clinton Collamore (independent)","TF"
"jennifer mayher","Representative",46,"Democratic",1000,"yes","Jennifer Mayher","MCEA"
"kristine a poland","Representative",46,"Unenrolled",1000,"yes","Kristine Poland (independent)","MCEA"
"wayne k farrin","Representative",47,"Democratic",1000,"yes","Wayne Farrin","MCEA"
"chester b grover iii","Representative",47,"Republican",850,"yes","Chester Grover III","MCEA"
"charlotte nutt","Representative",48,"Democratic",1000,"yes","Charlotte Nutt","MCEA"
"erik hobson","Representative",48,"Republican",1000,"yes","Erik Hobson","MCEA"
"nicolas john hamlin","Representative",49,"Republican",1000,"yes","Nicolas Hamlin (not on ballot)","MCEA"
"suzanne r andresen","Representative",49,"Republican",1000,"yes","Suzanne Andresen","MCEA"
"trent vellella","Representative",49,"Democratic",925,"yes","Trent Vellella","MCEA"
"david a sinclair","Representative",50,"Democratic",0,"yes","David Sinclair","MCEA"
"jedediah j rice","Representative",50,"Republican",0,"yes","Jedediah Rice II","TF"
"annalyse sarvinas","Representative",51,"Republican",1000,"yes","Annalyse Sarvinas","MCEA"
"rafael leo macias","Representative",51,"Democratic",700,"yes","Rafael Macias","MCEA"
"louis larios","Representative",51,"Republican",0,"yes","Louis Larios (dropped out)","TF"
"sally jeane cluchey","Representative",52,"Democratic",1000,"yes","Sally Cluchey","MCEA"
"david wayne guilmette","Representative",52,"Republican",820,"yes","David Guilmette","MCEA"
"michael h lemelin","Representative",53,"Republican",2000,"yes","Michael Lemelin","TF"
"richard marc goldman","Representative",53,"Democratic",1000,"yes","Richard Goldman","MCEA"
"michelle tucker","Representative",54,"Republican",2565,"yes","Michelle Tucker","TF"
"karen l montell","Representative",54,"Democratic",1000,"yes","Karen Montell","MCEA"
"charles hippler iv","Representative",55,"Republican",3300,"yes","Charles Hippler IV","TF"
"maureen aucoin","Representative",55,"Democratic",1100,"yes","Maureen AuCoin","MCEA"
"steven butterfield","Representative",55,"Democratic",960,"yes","Steven Butterfield (not on ballot)","MCEA"
"robin uptonsukeforth","Representative",56,"Democratic",1660,"yes","Robin Upton-Sukeforth","MCEA"
"randall adam greenwood","Representative",56,"Republican",0,"yes","Randall Greenwood","MCEA"
"tavis rock hasenfus","Representative",57,"Democratic",0,"yes","Tavis Hasenfus","TF"
"david potvin","Representative",57,"Republican",0,"yes","David Potvin","TF"
"sharon c frost","Representative",58,"Unenrolled",7619.56,"yes","Sharon Frost (independent)","TF"
"jeff harris","Representative",58,"Republican",1000,"yes","Jeffrey Harris (not on ballot)","TF"
"dexter buzz bridges","Representative",58,"Republican",755,"yes","Dexter Bridges","MCEA"
"lawrence e bessey jr","Representative",58,"Republican",0,"yes","Lawrence Bessey (not on ballot)","TF"
"tom keefe","Representative",59,"Democratic",3222.5,"yes","Thomas Keefe (not on ballot)","TF"
"john reny","Representative",59,"Republican",1370,"yes","John Reny","MCEA"
"katrina couch raysaulis","Representative",59,"Democratic",980,"yes","Katrina Couch Ray-Saulis","MCEA"
"william r bridgeo","Representative",60,"Democratic",1000,"yes","William Bridgeo","MCEA"
"wyatt beaulieu","Representative",60,"Republican",21.15,"yes","Wyatt Beaulieu","MCEA"
"alicia c collins","Representative",61,"Republican",9175.12,"yes","Alicia Collins","TF"
"robin crawley","Representative",61,"Democratic",211,"yes","Robin Crawley","TF"
"katrina j smith","Representative",62,"Republican",4700,"yes","Katrina Smith","TF"
"pamela jo swift","Representative",62,"Democratic",800,"yes","Pamela Swift","MCEA"
"paul r flynn","Representative",63,"Republican",7550,"yes","Paul Flynn","TF"
"taylor west","Representative",63,"Democratic",945,"yes","Taylor West","MCEA"
"shawn michael packard","Representative",64,"Republican",3930,"yes","Shawn Packard","TF"
"flavia m debrito","Representative",64,"Democratic",523,"yes","Flavia DeBrito","MCEA"
"cassie l julia","Representative",65,"Democratic",850,"yes","Cassie Julia","MCEA"
"scott strom","Representative",65,"Republican",0,"yes","Scott Strom (dropped out)","TF"
"michael d perkins","Representative",66,"Republican",0,"yes","Michael Perkins (dropped out)","MCEA"
"alicia barnes","Representative",66,"Unenrolled",0,"yes","Alicia Barnes (independent)","MCEA"
"shawn m dixon","Representative",67,"Republican",1170,"yes","Shawn Dixon","TF"
"matthew channing townsend","Representative",67,"Democratic",1000,"yes","Matthew Townsend","MCEA"
"zachary lejonhud","Representative",68,"Unenrolled",1006,"yes","Zachary Lejonhud (independent)","MCEA"
"amanda noelle collamore","Representative",68,"Republican",0,"yes","Amanda Collamore","TF"
"jessica bonafine blanchard","Representative",69,"Democratic",650,"yes","Jessica Blanchard","MCEA"
"dean a cray","Representative",69,"Republican",500,"yes","Dean Cray","TF"
"jennifer lynn poirier","Representative",70,"Republican",1500,"yes","Jennifer Poirier","TF"
"joseph almand","Representative",70,"Democratic",955,"yes","Joseph Almand","MCEA"
"john e ducharme iii","Representative",71,"Republican",6685,"yes","John Ducharme III","TF"
"allison perkins","Representative",71,"Democratic",25,"yes","Allison Perkins (dropped out)","TF"
"douglas a thomas","Representative",72,"Republican",1000,"yes","Douglas Thomas","MCEA"
"cynthia somahernandez","Representative",72,"Democratic",900,"yes","Cynthia Soma-Hernandez","MCEA"
"mike soboleski","Representative",73,"Republican",4425,"yes","Michael Soboleski","TF"
"daniel simonds","Representative",73,"Democratic",1000,"yes","Daniel Simonds","MCEA"
"ryan morgan","Representative",73,"Republican",600,"yes","Ryan Morgan (not on ballot)","TF"
"russell john black","Representative",74,"Republican",1000,"yes","Russell Black","MCEA"
"marc edwards","Representative",74,"Democratic",380,"yes","Marc Edwards","MCEA"
"randall douglas gauvin","Representative",75,"Republican",15070,"yes","Randall Gauvin","TF"
"h scott landry","Representative",75,"Democratic",2000,"yes","Scott Landry","TF"
"sheila a lyman","Representative",76,"Republican",1000,"yes","Sheila Lyman","MCEA"
"trevor alex doiron","Representative",76,"Democratic",1000,"yes","Trevor Doiron","MCEA"
"clinton brooks","Representative",76,"Unenrolled",0,"yes","Clinton Brooks","MCEA"
"arlie hetrick jr","Representative",77,"Democratic",115,"yes","Arlie Hetrick Jr.","MCEA"
"tammy l schmersalburgess","Representative",77,"Republican",0,"yes","Tammy Schmersal-Burgess","MCEA"
"nicole bambrick","Representative",77,"Republican",0,"yes","Nicole Cummings Bambrick (dropped out)","TF"
"rachel a henderson","Representative",78,"Republican",2350,"yes","Rachel Henderson","TF"
"woodleigh h hughes","Representative",78,"Democratic",1100,"yes","Woodleigh Hughes","MCEA"
"michael j lance","Representative",79,"Republican",750,"yes","Michael Lance","TF"
"brianna lueck","Representative",79,"Democratic",170,"yes","Brianna Lueck","MCEA"
"ernest fitts iv","Representative",80,"Republican",2200,"yes","Ernest Fitts IV","TF"
"azalea cormier","Representative",80,"Unenrolled",1020,"yes","Azalea Cormier (independent)","MCEA"
"gino valeriani","Representative",80,"Republican",750,"yes","Gino Valeriani (not on ballot)","TF"
"christopher easton","Representative",81,"Democratic",1000,"yes","Christopher Easton","MCEA"
"peter conley wood","Representative",81,"Republican",350,"yes","Peter Wood","TF"
"caleb joshua ness","Representative",82,"Republican",925,"yes","Caleb Ness","MCEA"
"christopher alfred lewey","Representative",82,"Democratic",700,"yes","Christopher Lewey","MCEA"
"marygrace caroline cimino","Representative",83,"Republican",2080,"yes","Marygrace Cimino","TF"
"timothy becker","Representative",83,"Democratic",1000,"yes","Timothy Becker","MCEA"
"mark walker","Representative",84,"Republican",675,"yes","Mark Walker","TF"
"cassandra anne dove","Representative",84,"Democratic",200,"yes","Cassandra Dove","TF"
"timothy nickels","Representative",85,"Republican",2213.65,"yes","Timothy Nickels (not on ballot)","TF"
"paul welch","Representative",85,"Democratic",850,"yes","Paul Welch","MCEA"
"adrienne paul","Representative",85,"Republican",612,"yes","Adrienne Paul","MCEA"
"rolf arthur olsen jr","Representative",86,"Republican",2821.89,"yes","Rolf Olsen Jr.","TF"
"abigail geer","Representative",86,"Democratic",945,"yes","Abigail Geer","MCEA"
"david wayne boyer jr","Representative",87,"Republican",6783.7,"yes","David Boyer Jr.","TF"
"john baldwin","Representative",87,"Green",0,"yes","John Baldwin (Green, dropped out)","MCEA"
"quentin chapman","Representative",88,"Republican",3091.7,"yes","Quentin Chapman","TF"
"dana staples","Representative",88,"Democratic",1110,"yes","Dana Staples","MCEA"
"adam r lee","Representative",89,"Democratic",12760,"yes","Adam Lee","TF"
"james berube","Representative",89,"Republican",0,"yes","James Berube","TF"
"laurel libby","Representative",90,"Republican",73158.3,"yes","Laurel Libby (dropped out)","TF"
"pamela hart","Representative",90,"Democratic",700,"yes","Pamela Hart","MCEA"
"james sorcek","Representative",90,"Republican",305,"yes","James Sorcek","MCEA"
"jeffrey timberlake","Representative",91,"Republican",1201.53,"yes","Jeffrey Timberlake","TF"
"emily dingman","Representative",91,"Democratic",0,"yes","Emily Dingman (dropped out)","TF"
"scott girardin","Representative",92,"Unenrolled",0,"yes","Scott Girardin (independent)","TF"
"stephen j wood","Representative",92,"Republican",0,"yes","Stephen Wood","MCEA"
