candidate,race,district,party,source,primary_result,show_on_page
james william iii hunt,,,,state,,no
jane p pringle,,,,state,,no
janice s dodge,,,,state,,no
jason l nedeau,,,,state,,no
jason m joyce,,,,state,,no
jay chase,,,,state,,no
jean m guzzetti,,,,state,,no
jeffrey k pierce,,,,state,,no
jeffrey sean adams,,,,state,,no
jennifer m morin,,,,state,,no
jennifer stone,,,,state,,no
joan s beal,,,,state,,no
joe n boyd,,,,state,,no
john l martin,,,,state,,no
john logan jones,,,,state,,no
john robert iii henkelman,,,,state,,no
jonathan c goble,,,,state,,no
jonathan m connor,,,,state,,no
joseph c galletta,,,,state,,no
joseph e jr rafferty,,,,state,,no
joseph e martin,,,,state,,no
joseph edwards velozo,,,,state,,no
joseph frederick underwood,,,,state,,no
joseph thomas brown,,,,state,,no
joshua james pietrowicz,,,,state,,no
judith elaine tunkle,,,,state,,no
justin p cartier,,,,state,,no
kathleen b odonnell,,,,state,,no
kathryn manende hall,,,,state,,no
kathy i javner,,,,state,,no
kayla amanda sterling,,,,state,,no
kelly ann davisrouillard,,,,state,,no
kendil elizabeth snowblack,,,,state,,no
kent f ackley,,,,state,,no
kevin gregory freeman,,,,state,,no
kevin lee scott,,,,state,,no
kimberly j monaghan,,,,state,,no
lance harvell,,,,state,,no
laura mae jones,,,,state,,no
laura t bridgman,,,,state,,no
laurie elaine york,,,,state,,no
lawrence e jr bessey,,,,state,,no
lee a trahan,,,,state,,no
leon c brillant,,,,state,,no
leslie e jr smith,,,,state,,no
linda kay miller,,,,state,,no
lisa nelthropp,Representative,113,Republican,state,,yes
lori kathryn gramlich,,,,state,,no
louis larios,Representative,51,Republican,state,,yes
lucas john lanigan,,,,state,,no
lydia v crafts,,,,state,,no
lynne anita williams,,,,state,,no
m thad moody,,,,state,,no
marc dominique casavant,,,,state,,no
margaret rose rotundo,,,,state,,no
marianne moore,,,,state,,no
mark f zimmer,,,,state,,no
mark m babin,,,,state,,no
mark w lawrence,,,,state,,no
mary lou j daxland,,,,state,,no
melanie fleming sachs,,,,state,,no
michael anthony mckinney,,,,state,,no
michael arthur soboleski,,,,state,,no
michael d capeci,,,,state,,no
michael f brennan,,,,state,,no
michael j lawler,,,,state,,no
michael r pock,,,,state,,no
michael thomas iii barden,,,,state,,no
michel a lajoie,,,,state,,no
michele labree daniels,,,,state,,no
michelle marie tucker,,,,state,,no
michelle nicole boyer,,,,state,,no
natalie dipentino,,,,state,,no
nathan white,,,,state,,no
nathaniel john white,,,,state,,no
nichole sekera,,,,state,,no
nicole bambrick,Representative,77,Republican,state,,yes
nicole collins,,,,state,,no
nina azella milliken,,,,state,,no
norman edward bamford,,,,state,,no
olive maureen morelli,,,,state,,no
patricia e kidder,,,,state,,no
patricia von schaumburg,,,,state,,no
patrick wayne corey,,,,state,,no
paul bernard,,,,state,,no
paul d drowns,,,,state,,no
paul david witten,,,,state,,no
paul edward bennett,,,,state,,no
paul titcomb sr davis,,,,state,,no
peter a lyford,,,,state,,no
peter alan crockett,,,,state,,no
peter g colman,,,,state,,no
peter ignatius doyle,,,,state,,no
phyllis m hunter,,,,state,,no
raegan french larochelle,,,,state,,no
reda h edelman,,,,state,,no
richard a bennett,,,,state,,no
richard a evans,,,,state,,no
richard r tory,,,,state,,no
richard real cyr,,,,state,,no
richard t bradstreet,,,,state,,no
robert charles meyer,,,,state,,no
robert mccarthy,,,,state,,no
roberta j hill,,,,state,,no
roland eben rogers,,,,state,,no
rolf arthur jr olsen,,,,state,,no
russell patrick white,,,,state,,no
ruth ann malcolm,,,,state,,no
ryan c poitras,,,,state,,no
samantha phyllis paradis,,,,state,,no
samuel c eddy,,,,state,,no
samuel normand howes,,,,state,,no
sandra j gray,,,,state,,no
scott b eccleston,,,,state,,no
scott douglas williams,,,,state,,no
scott e craig,,,,state,,no
scott gerard girardin,,,,state,,no
scott newman gaiason,,,,state,,no
scott w jordan,,,,state,,no
scott william cuddy,,,,state,,no
scott wynn cyrway,,,,state,,no
sean n hall,,,,state,,no
sean paul hinkley,,,,state,,no
