name,status,finance_type,url
Douglas Keith Damon,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gckednv4esv7pj28x0q
Scott Seekins,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcnemeasy5jqk2h8axz
"Roger E. Densmore, III",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gckednv4esv9ya4mgj6
Richard H. Campbell,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zv7gqc8k5
Edwin M. Mitchell,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j
Randall Adam Greenwood,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvbb3aaqe
Kiernan I. Majerus-Collins (Special),Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztfcjhs70
James Brent Kane,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw801k4z40az
Brady Alden Clark,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxa92m2rk
Dale John Crafts,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwbq9rs0h
Susan F Bulay,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwgh7k8ab
Louis Samuel Pfeifle,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zw65qdny7
"Ray Alden Thombs, Jr.",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zytdtang1z
Benjamin Chipman,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpnw8tk7ns
Caldwell Jackson,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq9c6kq1tb
John G. Janelle,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq9rnbazjb
DANIEL LAPOINTE,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqdh1982ck
Arthur K Mingo,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqmsacxmbm
Rachel Talbot Ross,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zysncdayhw
Joseph M. Baldacci,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpekgw93cf
Randall C. Hall,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq5cey92tc
Beth A O'Connor,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcmembr11gk5757xfgq
Dylan Pugh,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqw41f1as6
Karin Orenstein,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z
Ann Higgins Matlack,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84
David Roland Mongeau II,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy
Bobby J Mills,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdj6b63r4c
Jantzen Stephen Craine,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8n0axfbw
Kenneth Wade Fredette,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa4e9pmqh
Katrina J Smith,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9s9hv47g
Randall Douglas Gauvin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rfsefsdf
Sharon C. Frost,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758r8enymtk
Jamie K Newton,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q95zhtbwm
Nicole Lynn Kalloch,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qac013eqh
Jacqueline Anne Sartoris,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcnemeasy5jnzwn50t2
"Neil E. McLean, Jr.",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcmembr11gjv8bxq0v5
Michelle M Kane,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8075cnzrz8
Victoria Porter Kornfield,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807zy2jp5w
Jeff Adams,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807kwz9n20
Joshua Morris,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qarpcvj50
Matthew Moonen,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808fjwwyvg
Dale P. Lancaster,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gckednv4eswfgr47wn0
"Joseph J. Pietroski, Jr.",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcmembr11gkck0hfmzt
Peter Conley Wood,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcrerstc7zz00maysy4
Abigail W. Griffin,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq4c1zzzp6
Elizabeth A. Jordan,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqav21h36w
Thomas Arthur Lavigne,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqe3z90p5a
Jamie Lee Hopkins,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq7ms5vawn
Margaret Wheeler,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knhfre61fmxsj9wdkys623sb
Frank Joseph Casella,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7
Kristine A. Poland,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyac045ck
Brian Thomas,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knb17hzverwt9jb9bmqzzwr8
Donald James Ardell,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpdfyx4bqy
Amanda Noelle Collamore,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpq8jcbz5p
Tavis Rock Hasenfus,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmq62jmr5ap
Kerryl Lee Clement,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztxa2qsgj
"John E Ducharme, III",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmpxbedtyqr
Doris A Poland,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcqe2xs2kmqvae0c0zv
John Baldwin,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmn2mc8hecpsehgkg0hneymq
Shenna Bellows,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758p1xtjrkn
Clinton  Brooks,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkyf9r4feyct0155j1gyz7as
"Charles Hippler, IV",Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9af49vfg4aa1zk0wwbfqdw
Katie Brydon,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q
Mary Shannon Lindstrom,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvnk58we98swfgc2j11awmw
Michael Tipping,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp
Diana Kushnar,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh520nqvfb49vj94drp9twss
Michelle Conners,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkfgm7m1e89bcny8jm7afmr8
Amy Leshure,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh54mpjzetdbsge83t58m804
Justin Tahai,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh526dz9ejb99kxe4rera9pg
Marc Anthony Boisse,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758p8szjznm
Guy Dow,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6mtffmfeab0c2rkv45138a
