branch,district,candidate,finance_type,party
House,127,"Rielly, Morgan J.",TF,D
House,128,"Salisbury, Suzanne M.",MCEA,D
House,129,"Archer, Marshall",TF,D
House,130,"Copeland, Lynn Holland",MCEA,D
House,130,"Davis, Todd Michael",MCEA,U
House,131,"Blow, Kenneth",TF,U
House,131,"Kelly, Robert J.",MCEA,D
House,132,"Fecteau, Ryan",TF,D
House,133,"Malon, II, Marc G.",TF,D
House,134,"Daggett, Allen Anthony",TF,U
House,134,"Gere, Traci",MCEA,D
House,135,"Craig, Scott",MCEA,U
House,135,"Phipps, Rachel Mary",MCEA,D
House,135,"Pratt, Lisa",MCEA,D
House,136,"Conners, Michelle",MCEA,D
House,136,"Eder, John",MCEA,R
House,137,"Tilburg, Charles Edward",MCEA,D
House,137,"Carlow, Nathan",TF,R
House,138,"Kinney, Jonathan L.",TF,R
House,138,"McAvoy, Oliver",MCEA,D
House,139,"Lepage, Dean",MCEA,D
House,139,"Newton, Jamie K",TF,R
House,140,"Parry, Wayne",TF,R
House,140,"Watson, Kirstan",MCEA,D
House,141,"Boisse, Marc Anthony",TF,R
House,141,"Flood Andrews, Rebecca Lynn",MCEA,D
House,141,"Mongeau, II, David Roland",MCEA,U
House,141,"Phinney, Jr., Clinton Wesley",MCEA,R
House,142,"Frohloff, Gordon",TF,R
House,142,"Hanselmann, Ayn",MCEA,D
House,143,"Henkelman, III, John Robert",MCEA,D
House,143,"Small, Eric H.",TF,R
House,144,"Adams, Jeff",TF,R
House,144,"Cole, Corrina",MCEA,U
House,145,"Chase, Caleb Joseph",MCEA,R
House,145,"Davis, Kristin Tyra",MCEA,D
House,146,"Moulton, Bradley S.",MCEA,R
House,146,"Runte, Jr., Walter",MCEA,D
House,147,"Sargent, Holly Taylor",MCEA,D
House,148,"Lavigne, Thomas",TF,R
House,148,"Wheeler, Margaret",TF,D
House,149,"Cook, Mallory Aaren",MCEA,D
House,149,"Tahai, Justin Aryan",TF,U
House,150,"Orestis, Alexandros",MCEA,D
House,150,"Zimmer, Mark Frederick",MCEA,R
