"filer_name","race","district","party"
"Ethan Mongue","Representative","126","Republican"
"Morgan Rielly","Representative","127","Democratic"
"Suzanne Salisbury","Representative","128","Democratic"
"Marshall Archer","Representative","129","Democratic"
"Lynn Copeland","Representative","130","Democratic"
"Robert Kelly","Representative","131","Democratic"
"Ryan Fecteau","Representative","132","Democratic"
"Marc Malon, II","Representative","133","Democratic"
"Traci Gere","Representative","134","Democratic"
"Rachel Phipps","Representative","135","Democratic"
"Lisa Pratt","Representative","135","Democratic"
"Michelle Conners","Representative","136","Democratic"
"John Eder","Representative","136","Republican"
"Nathan Carlow","Representative","137","Republican"
"Charles Tilburg","Representative","137","Democratic"
"Jonathan Kinney","Representative","138","Republican"
"Oliver McAvoy","Representative","138","Democratic"
"Dean LePage","Representative","139","Democratic"
"Jamie Newton","Representative","139","Republican"
"Wayne Parry","Representative","140","Republican"
"Kirstan Watson","Representative","140","Democratic"
"Marc Boisse","Representative","141","Republican"
"Rebecca Flood Andrews","Representative","141","Democratic"
"Clinton Phinney, Jr.","Representative","141","Republican"
"Gordon Frohloff","Representative","142","Republican"
"Ayn Hanselmann","Representative","142","Democratic"
"John Henkelman","Representative","143","Democratic"
"Eric Small","Representative","143","Republican"
"Jeffrey Adams","Representative","144","Republican"
"Caleb Chase","Representative","145","Republican"
"Kristin Davis","Representative","145","Democratic"
"Bradley Moulton","Representative","146","Republican"
"Walter Runte, Jr.","Representative","146","Democratic"
"Holly Sargent","Representative","147","Democratic"
"Thomas Lavigne","Representative","148","Republican"
"Margaret Wheeler","Representative","148","Democratic"
"Mallory Cook","Representative","149","Democratic"
"Timothy Towne","Representative","149","Republican"
"Alexandros Orestis","Representative","150","Democratic"
"Mark Zimmer","Representative","150","Republican"
"Suzanne Johnson","Representative","151","Republican"
"Kristi Mathieson","Representative","151","Democratic"
