filer_name,race,district,party
sheila a lyman,Representative,76,Republican
rafael leo macias,Representative,51,Democratic
sean mahoney,Representative,112,Democratic
vincent maietta,Senator,29,Republican
kiernan innes majeruscollins,Representative,95,Democratic
marc g malon ii,Representative,133,Democratic
joseph edward martin,Senator,19,Republican
roland daniel martin,Representative,2,Democratic
garrett paul mason,Governor,NA,Republican
richard g mason,Senator,17,Republican
kristi mathieson,Representative,151,Democratic
ann higgins matlack,Senator,12,Democratic
jennifer mayher,Representative,46,Democratic
oliver mcavoy,Representative,138,Democratic
julia a g mccabe,Representative,93,Democratic
owen mccarthy,Governor,NA,Republican
james mcclymer,Representative,34,Democratic
kati l mccormick,Senator,15,Republican
david h mccrea,Representative,3,Democratic
nancy mcdowell,Representative,29,Democratic
nancy mcdowellspecial,Representative,29,Democratic
steven mcgee,Senator,14,Republican
mathew david mcintyre,Representative,18,Republican
vaughn j mclaughlin,Senator,1,Democratic
joseph milton mclaughlin,Representative,40,Republican
michele meyer,Senator,35,Democratic
james michael michaud,Representative,29,Republican
benjamin midgley,Governor,NA,Republican
kayla miller,Representative,38,Democratic
nina a milliken,Representative,16,Democratic
arthur k mingo,Representative,9,Republican
christina rue cork mitchell,Representative,110,Democratic
edwin m mitchell,Senator,13,Unenrolled
david roland mongeau ii,Representative,141,Unenrolled
ethan mongue,Representative,126,Republican
karen l montell,Representative,54,Democratic
matthew moonen,Representative,117,Democratic
patric moore,Senator,16,Democratic
ryan morgan,Representative,73,Republican
joshua morris,Senator,17,Republican
bradley s moulton,Representative,146,Republican
marcus mrowka,Representative,41,Democratic
kelly maureen noonan murphy,Representative,125,Democratic
timothy e nangle,Senator,26,Democratic
eric nathanson,Representative,124,Democratic
caleb joshua ness,Representative,82,Republican
keith newman,Representative,11,Democratic
jamie k newton,Representative,139,Republican
michael j nicholson,Representative,39,Republican
timothy nickels,Representative,85,Republican
clifford noyes,Representative,15,Unenrolled
charlotte nutt,Representative,48,Democratic
kevin oconnell,Senator,10,Democratic
dani ohalloran,Representative,20,Democratic
rolf arthur olsen jr,Representative,86,Republican
colleen t oneal,Representative,22,Republican
alan lee orcutt,Representative,37,Democratic
karin orenstein,Representative,103,Democratic
alexandros orestis,Representative,150,Democratic
laurie osher,Representative,25,Democratic
ryan christopher otis,Senator,11,Republican
shawn michael packard,Representative,64,Republican
edward l paradis,Representative,26,Republican
andrew parker,Governor,NA,Unenrolled
wayne parry,Representative,140,Republican
adrienne paul,Representative,85,Republican
reagan leeann paul,Representative,37,Republican
allison perkins,Representative,71,Democratic
chad richard perkins,Senator,4,Republican
michael d perkins,Representative,66,Republican
louis samuel pfeifle,Representative,104,Unenrolled
clinton phinney jr,Representative,141,Republican
rachel mary phipps,Representative,135,Democratic
gregory pierce,Senator,4,Republican
teresa s pierce,Senator,25,Democratic
maura h pillsbury,Representative,102,Democratic
hannah pingree,Governor,NA,Democratic
garrett plummer,Senator,31,Republican
jennifer lynn poirier,Representative,70,Republican
kristine a poland,Representative,46,Unenrolled
kimberly j pomerleau,Senator,22,Republican
bernard robert porter,Senator,23,Republican
david potvin,Representative,57,Republican
lisa pratt,Representative,135,Democratic
tracy lynn quint,Representative,8,Republican
julie nicole rakic,Senator,35,Republican
ambureen rana,Representative,21,Democratic
d michael ray,Representative,40,Democratic
cory raymond,Representative,41,Republican
cameron reny,Senator,13,Democratic
john reny,Representative,59,Republican
jedediah j rice,Representative,50,Republican
nicole richards,Representative,9,Democratic
morgan j rielly,Representative,127,Democratic
amy j roeder,Senator,9,Democratic
gary gene runnells jr,Representative,16,Unenrolled
walter gerard jr runte,Representative,146,Democratic
matthew rush,Representative,7,Democratic
ronald b russell,Representative,17,Democratic
deane rykerson,Senator,35,Democratic
shawn saindon,Representative,44,Unenrolled
suzanne m salisbury,Representative,128,Democratic
holly taylor sargent,Representative,147,Democratic
annalyse sarvinas,Representative,51,Republican
eleanor sato,Senator,30,Democratic
daniel sayre,Senator,34,Democratic
tammy l schmersalburgess,Representative,77,Republican
michael r scott,Senator,20,Democratic
nirav shah,Governor,NA,Democratic
jason shedlock,Representative,120,Democratic
stanley short jr,Senator,3,Democratic
seven siegel,Representative,109,Democratic
daniel simonds,Representative,73,Democratic
david a sinclair,Representative,50,Democratic
eric h small,Representative,143,Republican
katrina j smith,Representative,62,Republican
meagan smith,Representative,121,Republican
mike soboleski,Representative,73,Republican
cynthia somahernandez,Representative,72,Democratic
james sorcek,Representative,90,Republican
eryn soule,Senator,21,Unenrolled
peter j southam,Senator,19,Democratic
dana staples,Representative,88,Democratic
rebecca stephens,Representative,45,Republican
joel r stetkis,Senator,3,Republican
harold trey l iii stewart,Senator,2,Republican
william j st michel,Representative,98,Republican
gordon powell street,Representative,28,Democratic
scott strom,Representative,65,Republican
tiffany strout,Representative,11,Republican
robert finch sullebarger,Senator,5,Democratic
laura danielle supica,Representative,22,Democratic
pamela jo swift,Representative,62,Democratic
chad syphers,Representative,93,Republican
justin tahai,Representative,149,Unenrolled
rachel talbot ross,Senator,28,Democratic
denise tepler,Senator,24,Democratic
parnell william terry,Representative,108,Democratic
austin theriault,Representative,1,Republican
nancy jean theriault,Representative,29,Republican
douglas a thomas,Representative,72,Republican
ray thombs,Representative,44,Republican
james e thorne,Representative,35,Republican
charles edward tilburg,Representative,137,Democratic
jeffrey timberlake,Representative,91,Republican
michael tipping,Senator,8,Democratic
melanie ann tompkins,Representative,6,Democratic
andrew r torbett,Representative,31,Republican
timothy towne,Representative,149,Republican
matthew channing townsend,Representative,67,Democratic
michelle tucker,Representative,54,Republican
william r tuell,Representative,10,Republican
david ulrich,Representative,19,Democratic
robin uptonsukeforth,Representative,56,Democratic
