"filer_name","race","district","party","list"
"Quentin Chapman","Representative","88","Republican","2024"
"Quentin Chapman","Representative","88","Republican","2024"
"Robert B. Charles","Governor",NA,"Republican","2024"
"Caleb Joseph Chase","Representative","145","Republican","2024"
"Jay Chase","Senator","34","Republican","2024"
"Jason Seth Cherry","Governor",NA,"Democratic","2024"
"Benjamin Chipman","Representative","118","Democratic","2024"
"M. Todd Chretien","Representative","112","Democratic","2024"
"Annie Christy","Representative","123","Republican","2024"
"Kenneth James Cianchette","Senator","26","Republican","2024"
"Marygrace Caroline Cimino","Representative","83","Republican","2024"
"Brady Alden Clark","Representative","44","Republican","2024"
"Kerryl Lee Clement","Representative","96","Republican","2024"
"Kerryl Lee Clement","Representative","96","Republican","2024"
"Kristen Sarah Cloutier","Representative","94","Democratic","2024"
"Sally Jeane Cluchey","Representative","52","Democratic","2024"
"Corinna Cole","Representative","144","Democratic","2024"
"Corinna Cole","Representative","144","Unenrolled","2024"
"Amanda Noelle Collamore","Representative","68","Republican","2024"
"Clinton Collamore","Representative","45","Unenrolled","2024"
"Alicia Collins","Representative","61","Republican","2024"
"Alicia C Collins","Representative","61","Republican","2024"
"Nicole Collins","Representative","8","Democratic","2024"
"Peter G Colman","Representative","10","Democratic","2024"
"Michelle Kathryn Conners","Representative","136","Democratic","2024"
"Jonathan M Connor","Senator","21","Republican","2024"
"Madison Cook","Representative","39","Democratic","2024"
"Mallory Aaren Cook","Representative","149","Democratic","2024"
"Mark C. Cooper","Representative","107","Republican","2024"
"Mark C. Cooper","Representative","107","Republican","2024"
"Lynn Holland Copeland","Representative","130","Democratic","2024"
"Patrick Wayne Corey","Representative","107","Unenrolled","2024"
"Danny E Costain","Senator","3","Republican","2024"
"Shanna Cox","Senator","21","Democratic","2024"
"Dale John Crafts","Representative","97","Republican","2024"
"Lydia V Crafts","Representative","46","Democratic","2024"
"Scott E. Craig","Representative","135","Republican","2024"
"Jantzen Stephen Craine","Representative","7","Republican","2024"
"Barbara Ann Cray","District Attorney","Prosecutorial District 6","Democratic","2024"
"Dean A. Cray","Representative","69","Republican","2024"
"Peter Alan Crockett","Representative","27","Democratic","2024"
"W. Edward Crockett","Governor",NA,"Unenrolled","2024"
"W. Edward Crockett","Representative","112","Democratic","2024"
"Scott William Cuddy","Representative","37","Democratic","2024"
"Glenn Chip Curry","Senator","11","Democratic","2024"
"Glenn Chip Curry","Senator","11","Democratic","2024"
"Richard Real Cyr","Senator","9","Republican","2024"
"Scott W. Cyrway","Senator","16","Republican","2024"
"Scott Wynn Cyrway","Senator","16","Republican","2024"
"Allen Anthony Daggett","Representative","134","Unenrolled","2024"
"Lucien JB Daigle","Representative","1","Republican","2024"
"Lucien JB Daigle","Representative","1","Republican","2024"
"Stefanie Mahr Damien","Representative","88","Democratic","2024"
"Michele LaBree Daniels","Senator","10","Democratic","2024"
"Matthea Elisabeth Larsen Daughtry","Senator","23","Democratic","2024"
"Kenneth Davis","Senator","6","Republican","2024"
"Kristin Tyra Davis","Representative","145","Democratic","2024"
"Paul Titcomb Sr. Davis","Senator","4","Republican","2024"
"Todd Michael Davis","Representative","130","Unenrolled","2024"
"Kelly Ann Davis-Rouillard","Representative","149","Republican","2024"
"Mary Lou J. Daxland","Representative","46","Republican","2024"
"Flavia M. DeBrito","Representative","64","Democratic","2024"
"Andrew Stephen Dent","Representative","64","Democratic","2024"
"Deqa Abdi Dhalac","Representative","120","Democratic","2024"
"Cynthia A. Dill","Representative","123","Democratic","2024"
"James F. Dill","Representative","26","Democratic","2024"
"James F. Dill","Representative","26","Democratic","2024"
"Natalie DiPentino","Representative","28","Democratic","2024"
"Shawn M. Dixon","Representative","67","Republican","2024"
"Donna Marie Dodge","Representative","83","Republican","2024"
"Janice S. Dodge","Representative","39","Democratic","2024"
"Trevor Alex Doiron","Representative","76","Democratic","2024"
"Ann E. Dorney","Representative","71","Democratic","2024"
"Victoria W. Doudera","Representative","41","Democratic","2024"
"Cassandra Anne Dove","Representative","84","Democratic","2024"
"Peter Ignatius Doyle","Representative","119","Republican","2024"
"Gary A. Drinkwater","Representative","27","Republican","2024"
"Paul D Drowns","Representative","87","Democratic","2024"
"Bradley Scott Ducharme","Senator","34","Republican","2024"
"John E III Ducharme","Representative","71","Republican","2024"
"John E. III Ducharme","Representative","71","Republican","2024"
"Dave A Duguay","Senator","19","Republican","2024"
"Jill C Duson","Senator","27","Democratic","2024"
"Jill C. Duson","Senator","27","Democratic","2024"
"Harold Alfred III Eames","Representative","50","Republican","2024"
"Holly Rae Eaton","Representative","15","Democratic","2024"
"James E Eaton","Representative","45","Democratic","2024"
"Scott B. Eccleston","Representative","131","Republican","2024"
"Samuel C. Eddy","Representative","103","Republican","2024"
"Reda H. Edelman","Representative","21","Republican","2024"
"John Eder","Representative","136","Republican","2024"
"John Michael Eder","Representative","136","Republican","2024"
"Charles William Ellis","Representative","128","Republican","2024"
"Eileen A. Ellis","Representative","38","Democratic","2024"
"Stephen Ellis","Representative","38","Democratic","2024"
"Marcus Emerson","Representative","59","Republican","2024"
"Travis B Erickson","Representative","85","Democratic","2024"
"Richard A Evans","Senator","4","Democratic","2024"
"Sean F. Faircloth","Representative","24","Democratic","2024"
"Jonathan Reed Fallon","Senator","34","Republican","2024"
"Bradlee T. Farrin","Senator","3","Republican","2024"
"Wayne K. Farrin","Representative","47","Democratic","2024"
"Wayne K. Farrin","Representative","47","Democratic","2024"
"Billy Bob Faulkingham","Representative","12","Republican","2024"
"Ryan Fecteau","Representative","132","Democratic","2024"
"Ryan M Fecteau","Representative","132","Democratic","2024"
"James J. Jr. Finegan","Representative","102","Republican","2024"
"Carolyn Fish","Representative","24","Republican","2024"
"Michael Sweeny Flanagan","Representative","43","Republican","2024"
"Paul R Flynn","Representative","63","Republican","2024"
"Paul R Flynn","Representative","63","Republican","2024"
"Robert A. Foley","Representative","145","Republican","2024"
"David J Foster","Governor",NA,"Republican","2024"
"Gregory E Foster","Representative","86","Republican","2024"
"Steven D Foster","Representative","32","Republican","2024"
"Ann Marie Fredericks","Representative","143","Republican","2024"
"Kenneth Wade Fredette","Representative","33","Republican","2024"
"Kenneth Wade Fredette","Representative","33","Republican","2024"
"KEVIN GREGORY FREEMAN","Representative","5","Democratic","2024"
"Gary Friedmann","Representative","14","Democratic","2024"
"Sharon C. Frost","Representative","58","Unenrolled","2024"
"Sharon Conrad Frost","Representative","58","Unenrolled","2024"
"David H. Gadbois","Representative","132","Republican","2024"
"Scott Newman Gaiason","Representative","97","Democratic","2024"
"Joseph C Galletta","Representative","98","Republican","2024"
"Andrew M Gattine","Representative","126","Democratic","2024"
"Randall Gauvin","Representative","75","Republican","2024"
"Randall Douglas Gauvin","Representative","75","Republican","2024"
"Valli D. Geiger","Representative","42","Democratic","2024"
"Valli D. Geiger","Representative","42","Democratic","2024"
"Traci Gere","Representative","134","Democratic","2024"
"Traci L. Gere","Representative","134","Democratic","2024"
"Joshua D. Gerritsen","Representative","41","Democratic","2024"
"Irene A. Gifford","Representative","28","Republican","2024"
"David Giles","Representative","27","Republican","2024"
"Scott Gerard Girardin","Representative","92","Unenrolled","2024"
"Eric Lee Giroux","Representative","78","Democratic","2024"
"Elizabeth J. Gleason","Representative","137","Democratic","2024"
"John Michael Sr. Glowa","Governor",NA,"Unenrolled","2024"
"Jonathan C. Goble","Senator","6","Democratic","2024"
"Richard Marc Goldman","Representative","53","Democratic","2024"
"Cheryl A Golek","Representative","99","Democratic","2024"
"Cheryl A. Golek","Representative","99","Democratic","2024"
"Gregory R. Gosselin","Representative","147","Republican","2024"
"Anne P Graham","Representative","105","Democratic","2024"
"Lori Kathryn Gramlich","Representative","131","Democratic","2024"
"Cecil R. III Gray","Representative","70","Democratic","2024"
"Sandra J Gray","Representative","14","Republican","2024"
"Randall Adam Greenwood","Representative","56","Republican","2024"
"Randall Adam Greenwood","Representative","56","Republican","2024"
"Lauren Marie Grenier","Senator","31","Unenrolled","2024"
"Abigail W. Griffin","Representative","34","Republican","2024"
"Nicole C Grohoski","Senator","7","Democratic","2024"
"Nicole C. Grohoski","Senator","7","Democratic","2024"
"Chester B. III Grover","Representative","47","Republican","2024"
"Joseph Paul Guerin","Senator","4","Republican","2024"
"Stacey K Guerin","Senator","4","Republican","2024"
"Stacey Kay Guerin","Representative","34","Republican","2024"
"Timothy C. Guerrette","Representative","4","Republican","2024"
"Timothy Conrad Guerrette","Representative","4","Republican","2024"
"David W. Guilmette","Representative","52","Republican","2024"
"David Wayne Guilmette","Representative","52","Republican","2024"
"Jean M Guzzetti","Senator","24","Democratic","2024"
"David G. Haggan","Senator","10","Republican","2024"
"David G. Haggan","Senator","10","Republican","2024"
"Kimberly Haggan","Representative","36","Republican","2024"
"Kimberly M. Haggan","Representative","36","Republican","2024"
"Randall C. Hall","Representative","74","Republican","2024"
"Sean N. Hall","Representative","99","Republican","2024"
"Donald R. Hamill","Senator","30","Republican","2024"
"Nicolas John Hamlin","Representative","49","Republican","2024"
"Dale C Harmon","Senator","13","Republican","2024"
"Scott A. Harriman (Special)","Representative","94","Democratic","2024"
"Scott A. Harriman","Representative","94","Democratic","2024"
"Matthew A Harrington","Senator","33","Republican","2024"
"Matthew A. Harrington","Senator","33","Republican","2024"
"Lance Harvell","Senator","5","Republican","2024"
"Tavis Rock Hasenfus","Representative","57","Democratic","2024"
"Stephen J. Hemenway","Representative","39","Republican","2024"
"Rachel Henderson","Representative","78","Republican","2024"
"Rachel A. Henderson","Representative","78","Republican","2024"
"John Robert III Henkelman","Representative","143","Democratic","2024"
"Allison L. Hepler","Representative","49","Democratic","2024"
"Cheryl Ann Hewes","Representative","13","Republican","2024"
"Craig Hickman","Senator","14","Democratic","2024"
"Craig V Hickman","Senator","14","Democratic","2024"
"Roberta J. Hill","Representative","80","Democratic","2024"
"Sean Paul Hinkley","Senator","9","Republican","2024"
"Daniel J. Hobbs","Representative","145","Democratic","2024"
"Tamara Hoke","Senator","19","Democratic","2024"
"Tamara N. Hoke","Representative","76","Democratic","2024"
"Dale Jay Holman","Senator","27","Republican","2024"
"Jamie Lee Hopkins","Representative","42","Republican","2024"
"Vincent M. House","Representative","73","Democratic","2024"
"Tristram J Howard","Representative","122","Unenrolled","2024"
"Christopher M. Howell","Senator","29","Republican","2024"
"Samuel Normand Howes","Representative","76","Democratic","2024"
"Woodleigh H Hughes","Representative","78","Democratic","2024"
"James William III Hunt","Representative","48","Republican","2024"
"Phyllis M Hunter","Representative","91","Democratic","2024"
"Sherman Hoyt Hutchins","Senator","7","Republican","2024"
"Benjamin Charles Hymes","Representative","38","Republican","2024"
"Henry L Ingwersen","Senator","32","Democratic","2024"
"Henry L Ingwersen","Senator","32","Democratic","2024"
"Natasha C Irving","District Attorney","Prosecutorial District 6","Democratic","2024"
"Caldwell Jackson","Representative","80","Republican","2024"
"Ravi Jackson","Representative","101","Republican","2024"
"Troy Dale Jackson","Governor",NA,"Democratic","2024"
"John G. Janelle","Representative","89","Republican","2024"
"Kathy I Javner","Representative","29","Republican","2024"
"Peter Q. Jenks","Representative","43","Democratic","2024"
"Suzanne C. Johnson","Representative","151","Republican","2024"
"David John Jones","Governor",NA,"Republican","2024"
"John Logan Jones","Representative","111","Republican","2024"
"Laura Mae Jones","Representative","61","Democratic","2024"
"Elizabeth A. Jordan","Representative","134","Republican","2024"
"Scott W. Jordan","Representative","110","Republican","2024"
"Jason M Joyce","Representative","15","Unenrolled","2024"
"PATRICK JUDE","Representative","20","Republican","2024"
"Patrick A. Jude","Representative","20","Republican","2024"
"Cassie L. Julia","Representative","65","Democratic","2024"
"Cassie Lynn Julia","Representative","65","Democratic","2024"
"Nicole Lynn Kalloch","Senator","12","Unenrolled","2024"
"Leo Christopher Kenney","Senator","8","Republican","2024"
"Leo Christopher Kenney","Senator","8","Republican","2024"
"Christopher John Kessler","Representative","121","Democratic","2024"
"Patricia E Kidder","Representative","141","Democratic","2024"
"Gregory M. Kimber","Representative","74","Democratic","2024"
"Angus S. III King","Governor",NA,"Democratic","2024"
"Jonathan L. Kinney","Representative","138","Republican","2024"
"Victoria Porter Kornfield","Representative","23","Democratic","2024"
"Clifford T. Krolick","Representative","139","Democratic","2024"
"Amy D. Kuhn","Representative","111","Democratic","2024"
"Amy D. Kuhn","Representative","111","Democratic","2024"
"David Philip LaFountain","Senator","16","Democratic","2024"
"Michel A Lajoie","Representative","96","Democratic","2024"
"Shawn Leroy Lancaster","Representative","32","Republican","2024"
"Michael J. Lance","Representative","79","Republican","2024"
"Michael J. Lance","Representative","79","Republican","2024"
"H. Scott Jr. Landry","Representative","75","Democratic","2024"
"Lucas John Lanigan","Representative","141","Republican","2024"
"Colby Michael Lapointe","Representative","21","Unenrolled","2024"
"DANIEL LAPOINTE","Representative","24","Republican","2024"
"Raegan French LaRochelle","Senator","15","Democratic","2024"
"Matthea Elisabeth Larsen Daughtry","Senator","23","Democratic","2024"
"Aaron Lashua","Representative","77","Unenrolled","2024"
"Daniel J Lauzon","Senator","33","Democratic","2024"
"Thomas Arthur Lavigne","Representative","148","Republican","2024"
"Michael J Lawler","Senator","23","Republican","2024"
"Mark W. Lawrence","Senator","35","Democratic","2024"
"Guy M. Lebida","Representative","98","Republican","2024"
"Adam R. Lee","Representative","89","Democratic","2024"
"Adam R. Lee","Representative","89","Democratic","2024"
"Michael Lemelin","Representative","53","Republican","2024"
"Michael H. Lemelin","Representative","53","Republican","2024"
"Derek Allen Levasseur","Governor",NA,"Unenrolled","2024"
"Christopher Alfred Lewey","Representative","82","Democratic","2024"
"James Delmas Libby","Governor",NA,"Republican","2024"
"James Delmas Libby","Senator","22","Republican","2024"
"Laurel Libby","Representative","90","Republican","2024"
"Laurel Libby","Representative","90","Republican","2024"
"John Linnehan","Representative","13","Unenrolled","2024"
"Jason G Litalien","Senator","32","Unenrolled","2024"
"Alan Robert Livingston","Representative","109","Republican","2024"
"Grayson Benjamin Lookner","Representative","113","Democratic","2024"
"Tristan Earl Lozuaway-McComsey","Representative","148","Democratic","2024"
"Peter A. Lyford","Senator","10","Republican","2024"
"Sheila A. Lyman","Representative","76","Republican","2024"
"Wendy Lee MacDowell","Representative","60","Republican","2024"
"Rafael Leo Macias","Representative","51","Democratic","2024"
"Sean Mahoney","Representative","112","Democratic","2024"
"Kiernan I. Majerus-Collins (Special)","Representative","94","Democratic","2024"
"Kiernan Innes Majerus-Collins","Representative","94","Democratic","2024"
"Ruth Ann Malcolm","Representative","64","Republican","2024"
"Marc G. II Malon","Representative","133","Democratic","2024"
"Marc II Malon","Representative","133","Democratic","2024"
"Kathryn Manende Hall","Representative","143","Democratic","2024"
"Irvine W. Jr. Marsters","Representative","23","Republican","2024"
"John L. Martin","Representative","1","Democratic","2024"
"Joseph E Martin","Senator","19","Republican","2024"
"Joseph Edward Martin","Senator","19","Republican","2024"
"Roland Daniel Martin","Representative","2","Democratic","2024"
"Garrett Paul Mason","Governor",NA,"Republican","2024"
"Richard G Mason","Representative","97","Republican","2024"
"Richard G. Mason","Senator","17","Republican","2024"
"Anne-Marie Mastraccio","Representative","142","Democratic","2024"
"Kristi Mathieson","Representative","151","Democratic","2024"
"Ann H. Matlack","Representative","43","Democratic","2024"
"Ann Higgins Matlack","Senator","12","Democratic","2024"
"Julia A. G. McCabe","Representative","93","Democratic","2024"
"James A. McCarthy","Senator","32","Republican","2024"
"OWEN MCCARTHY","Governor",NA,"Republican","2024"
"Robert McCarthy","Representative","93","Republican","2024"
"Kati L. McCormick","Senator","15","Republican","2024"
"David H. McCrea","Representative","3","Democratic","2024"
"David H. McCrea","Representative","3","Democratic","2024"
"Shannon McDonnell","Senator","14","Republican","2024"
"Darin Lee McGaw","Representative","9","Democratic","2024"
"Mathew David McIntyre","Representative","18","Republican","2024"
"Mathew David McIntyre","Representative","18","Republican","2024"
"Michael Anthony McKinney","Representative","138","Democratic","2024"
"Joseph Milton McLaughlin","Representative","40","Republican","2024"
"Vaughn J Mclaughlin","Senator","1","Democratic","2024"
"Vaughn James Mclaughlin","Senator","1","Democratic","2024"
"Anne Marie McMahon","Senator","22","Democratic","2024"
"Craig R. Messinger","Representative","86","Democratic","2024"
"Michele Meyer","Representative","150","Democratic","2024"
"Michele Meyer","Senator","35","Democratic","2024"
"Robert Charles Meyer","Senator","11","Republican","2024"
"James Michael Michaud","Representative","29","Republican","2024"
"Benjamin Midgley","Governor",NA,"Republican","2024"
"Linda Kay Miller","Senator","18","Democratic","2024"
"Nina A Milliken","Representative","16","Democratic","2024"
"Nina Azella Milliken","Representative","16","Democratic","2024"
"Arthur K Mingo","Representative","9","Republican","2024"
"Christina Rue Cork Mitchell","Representative","110","Democratic","2024"
"Edwin M. Mitchell","Senator","13","Unenrolled","2024"
"Kimberly J Monaghan","Representative","123","Democratic","2024"
"David Roland II Mongeau","Representative","141","Unenrolled","2024"
"Karen L Montell","Representative","54","Democratic","2024"
"M. Thad Moody","Representative","108","Republican","2024"
"Matthew Moonen","Representative","117","Democratic","2024"
"Matthew Moonen","Representative","117","Democratic","2024"
"Marianne Moore","Senator","6","Republican","2024"
"Olive Maureen Morelli","Representative","18","Unenrolled","2024"
"Jennifer M. Morin","Representative","20","Republican","2024"
"Joshua Morris","Representative","91","Republican","2024"
"Joshua Morris","Senator","17","Republican","2024"
"Bradley S Moulton","Representative","146","Republican","2024"
"Marcus Mrowka","Representative","41","Democratic","2024"
"Alexander Kenneth Murchison","Governor",NA,"Unenrolled","2024"
"Kelly Maureen Noonan Murphy","Representative","125","Democratic","2024"
"Kelly Maureen Noonan Murphy","Representative","125","Democratic","2024"
"Timothy E Nangle","Senator","26","Democratic","2024"
"Timothy E. Nangle","Senator","26","Democratic","2024"
"Jason L Nedeau","Representative","140","Democratic","2024"
"Caleb Joshua NESS","Representative","82","Republican","2024"
"Caleb Joshua Ness","Representative","82","Republican","2024"
"Daniel Jesse Newman","Representative","58","Republican","2024"
"Heather M Newman","Representative","82","Democratic","2024"
"Jamie K Newton","Representative","139","Republican","2024"
"Michael J. Nicholson","Representative","39","Republican","2024"
"Charlotte Nutt","Representative","48","Democratic","2024"
"Charlotte Louise Nutt","Representative","79","Unenrolled","2024"
"ROBERT W NUTTING","Representative","66","Republican","2024"
"Kathleen B. O'Donnell","Senator","5","Democratic","2024"
"Dani O'Halloran","Representative","20","Democratic","2024"
"Dani O'Halloran","Representative","20","Democratic","2024"
"Colleen T. O'Neal","Representative","22","Republican","2024"
"Rolf Arthur Jr. Olsen","Representative","86","Republican","2024"
"Rolf Arthur Jr. Olsen","Representative","86","Republican","2024"
"Alan Lee Orcutt","Representative","37","Democratic","2024"
"Alexandros Orestis","Representative","150","Democratic","2024"
"Laurie Osher","Representative","25","Democratic","2024"
"Ryan Christopher Otis","Senator","11","Republican","2024"
"Christina M. Ouellette","Representative","26","Republican","2024"
"Shawn Michael Packard","Representative","64","Republican","2024"
"Samantha Phyllis Paradis","Representative","4","Democratic","2024"
"Wayne Parry","Representative","140","Republican","2024"
"Wayne Parry","Representative","140","Republican","2024"
"Adrienne Paul","Representative","85","Republican","2024"
"Reagan LeeAnn Paul","Representative","37","Republican","2024"
"Craig Alan Pendleton","Senator","31","Unenrolled","2024"
"Chad R. Perkins","Representative","31","Republican","2024"
"Chad Richard Perkins","Senator","4","Republican","2024"
"Michael D Perkins","Senator","16","Republican","2024"
"Michael D. Perkins","Representative","66","Republican","2024"
"Joseph Charles Perry","Representative","24","Democratic","2024"
"Louis Samuel Pfeifle","Representative","104","Unenrolled","2024"
"Rachel Mary Phipps","Representative","135","Democratic","2024"
"Donna Lynn Piccininni","Representative","57","Republican","2024"
"Gregory Pierce","Senator","4","Republican","2024"
"Jeffrey K Pierce","Senator","24","Republican","2024"
"Teresa S Pierce","Senator","25","Democratic","2024"
"Teresa S Pierce","Senator","25","Democratic","2024"
"Joshua James Pietrowicz","Representative","104","Republican","2024"
"Maura H Pillsbury","Representative","102","Democratic","2024"
"Kenneth Forrest Pinet","Governor",NA,"Democratic","2024"
"Hannah Pingree","Governor",NA,"Democratic","2024"
"William D Pluecker","Representative","44","Unenrolled","2024"
"Michael R. Pock","Representative","122","Republican","2024"
"Jennifer Lynn Poirier","Representative","70","Republican","2024"
"Jennifer Lynn Poirier","Representative","70","Republican","2024"
"Ryan C. Poitras","Representative","127","Republican","2024"
"Doris A Poland","Representative","106","Democratic","2024"
"Kristine A. Poland","Representative","46","Unenrolled","2024"
"Edward Joseph Polewarczyk","Representative","47","Republican","2024"
"Kimberly J Pomerleau","Representative","85","Republican","2024"
"Kimberly J. Pomerleau","Senator","22","Republican","2024"
"Bernard Robert Porter","Senator","23","Republican","2024"
"David Potvin","Representative","57","Republican","2024"
"Ivon Howell Jr. Prescott","Representative","100","Republican","2024"
"Jane P. Pringle","Representative","107","Democratic","2024"
"David C Projansky","Representative","96","Democratic","2024"
"Dylan Pugh","Representative","114","Democratic","2024"
"Tracy Lynn Quint","Representative","8","Republican","2024"
"Joseph E Jr. Rafferty","Senator","34","Democratic","2024"
"Julie Nicole Rakic","Senator","35","Republican","2024"
"Julie Nicole Rakic","Senator","35","Republican","2024"
"Ambureen Rana","Representative","21","Democratic","2024"
"D. Michael Ray","Representative","40","Democratic","2024"
"David Michael Ray","Representative","40","Democratic","2024"
"Cory Raymond","Representative","41","Republican","2024"
"James Edwin Read","Senator","25","Republican","2024"
"Cameron Reny","Senator","13","Democratic","2024"
"Cameron Reny","Senator","13","Democratic","2024"
"John Reny","Representative","59","Republican","2024"
"Jedediah J. Rice","Representative","50","Republican","2024"
"Morgan J. Rielly","Representative","127","Democratic","2024"
"Tiffany Danielle Roberts","Representative","149","Democratic","2024"
"W. Scott Rocknak","Senator","12","Republican","2024"
"Amy Roeder","Representative","23","Democratic","2024"
"Amy J Roeder","Senator","9","Democratic","2024"
"Roland Eben Rogers","Representative","11","Democratic","2024"
"David M. Rollins","Representative","59","Democratic","2024"
"Annalee Z Rosenblatt","Representative","124","Republican","2024"
"Margaret Rose Rotundo","Senator","21","Democratic","2024"
"Brian Roy","Representative","52","Republican","2024"
"Shelley J Rudnicki","Representative","67","Republican","2024"
"Gary Gene Jr. Runnells","Representative","16","Unenrolled","2024"
"Walter Gerard Jr. Runte","Representative","146","Democratic","2024"
"Matthew Rush","Senator","2","Democratic","2024"
"Ronald B. Russell","Representative","17","Democratic","2024"
"Deane Rykerson","Senator","35","Democratic","2024"
