"filer_name","race","district","party","list"
"Kelly Murphy","Representative","125","Democratic","2026"
"Andrew Gattine","Representative","126","Democratic","2026"
"Ethan Mongue","Representative","126","Republican","2026"
"Morgan Rielly","Representative","127","Democratic","2026"
"Suzanne Salisbury","Representative","128","Democratic","2026"
"Marshall Archer","Representative","129","Democratic","2026"
"Lynn Copeland","Representative","130","Democratic","2026"
"Robert Kelly","Representative","131","Democratic","2026"
"Ryan Fecteau","Representative","132","Democratic","2026"
"Marc Malon, II","Representative","133","Democratic","2026"
"Traci Gere","Representative","134","Democratic","2026"
"Rachel Phipps","Representative","135","Democratic","2026"
"Lisa Pratt","Representative","135","Democratic","2026"
"Michelle Conners","Representative","136","Democratic","2026"
"John Eder","Representative","136","Republican","2026"
"Nathan Carlow","Representative","137","Republican","2026"
"Charles Tilburg","Representative","137","Democratic","2026"
"Jonathan Kinney","Representative","138","Republican","2026"
"Oliver McAvoy","Representative","138","Democratic","2026"
"Dean LePage","Representative","139","Democratic","2026"
"Jamie Newton","Representative","139","Republican","2026"
"Wayne Parry","Representative","140","Republican","2026"
"Kirstan Watson","Representative","140","Democratic","2026"
"Marc Boisse","Representative","141","Republican","2026"
"Rebecca Flood Andrews","Representative","141","Democratic","2026"
"Clinton Phinney, Jr.","Representative","141","Republican","2026"
"Gordon Frohloff","Representative","142","Republican","2026"
"Ayn Hanselmann","Representative","142","Democratic","2026"
"John Henkelman","Representative","143","Democratic","2026"
"Eric Small","Representative","143","Republican","2026"
"Jeffrey Adams","Representative","144","Republican","2026"
"Caleb Chase","Representative","145","Republican","2026"
"Kristin Davis","Representative","145","Democratic","2026"
"Bradley Moulton","Representative","146","Republican","2026"
"Walter Runte, Jr.","Representative","146","Democratic","2026"
"Holly Sargent","Representative","147","Democratic","2026"
"Thomas Lavigne","Representative","148","Republican","2026"
"Margaret Wheeler","Representative","148","Democratic","2026"
"Mallory Cook","Representative","149","Democratic","2026"
"Timothy Towne","Representative","149","Republican","2026"
"Alexandros Orestis","Representative","150","Democratic","2026"
"Mark Zimmer","Representative","150","Republican","2026"
"Suzanne Johnson","Representative","151","Republican","2026"
"Kristi Mathieson","Representative","151","Democratic","2026"
